"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_MMER_INPUT_OPEN_PANEL","Open dispatch panel","Open dispatch panel","","","","","","","","","","","","",
"STR_MMER_INPUT_GROUP","MM Emergency Response","MM Emergency Response","","","","","","","","","","","","",
"STR_MMER_TITLE_DOWN","YOU ARE UNCONSCIOUS","YOU ARE UNCONSCIOUS","","","","","","","","","","","","",
"STR_MMER_TITLE_CALL","EMERGENCY CALL ACTIVE","EMERGENCY CALL ACTIVE","","","","","","","","","","","","",
"STR_MMER_BTN_CALL","CALL FOR HELP","CALL FOR HELP","","","","","","","","","","","","",
"STR_MMER_BTN_CANCEL","CANCEL CALL","CANCEL CALL","","","","","","","","","","","","",
"STR_MMER_BTN_COOLDOWN","ON COOLDOWN","ON COOLDOWN","","","","","","","","","","","","",
"STR_MMER_STATUS_READY","You cannot move or speak until you come round.","You cannot move or speak until you come round.","","","","","","","","","","","","",
"STR_MMER_STATUS_QUEUED","Call sent. The response team has been notified.","Call sent. The response team has been notified.","","","","","","","","","","","","",
"STR_MMER_STATUS_ENROUTE","Responder en route:","Responder en route:","","","","","","","","","","","","",
"STR_MMER_STATUS_COOLDOWN","You can call again in","You can call again in","","","","","","","","","","","","",
"STR_MMER_STATUS_UNAVAILABLE","You cannot call for help right now.","You cannot call for help right now.","","","","","","","","","","","","",
"STR_MMER_NO_CALLS","No active calls.","No active calls.","","","","","","","","","","","","",
"STR_MMER_BTN_ACCEPT","ACCEPT","ACCEPT","","","","","","","","","","","","",
"STR_MMER_BTN_COMPLETE","COMPLETE","COMPLETE","","","","","","","","","","","","",
"STR_MMER_BTN_ABANDON","RELEASE","RELEASE","","","","","","","","","","","","",
"STR_MMER_BTN_MARK","RE-MARK","RE-MARK","","","","","","","","","","","","",
"STR_MMER_BTN_ARCHIVE","ARCHIVE","ARCHIVE","","","","","","","","","","","","",
"STR_MMER_BTN_LIVE","LIVE QUEUE","LIVE QUEUE","","","","","","","","","","","","",
"STR_MMER_BTN_ROSTER","ROSTER","ROSTER","","","","","","","","","","","","",
"STR_MMER_BTN_CLOSE","CLOSE","CLOSE","","","","","","","","","","","","",
"STR_MMER_BTN_ADD","ADD","ADD","","","","","","","","","","","","",
"STR_MMER_BTN_REMOVE","REMOVE","REMOVE","","","","","","","","","","","","",
"STR_MMER_ROSTER_TITLE","RESPONSE ROSTER","RESPONSE ROSTER","","","","","","","","","","","","",
"STR_MMER_ROSTER_MEMBERS","Responders","Responders","","","","","","","","","","","","",
"STR_MMER_ROSTER_ONLINE","Online players","Online players","","","","","","","","","","","","",
"STR_MMER_STATE_NEW","NEW","NEW","","","","","","","","","","","","",
"STR_MMER_STATE_INPROGRESS","IN PROGRESS","IN PROGRESS","","","","","","","","","","","","",
"STR_MMER_STATE_DECEASED","PATIENT LOST","PATIENT LOST","","","","","","","","","","","","",
"STR_MMER_STATE_COMPLETED","COMPLETED","COMPLETED","","","","","","","","","","","","",
"STR_MMER_STATE_CANCELLED","CANCELLED","CANCELLED","","","","","","","","","","","","",
"STR_MMER_STATE_EXPIRED","EXPIRED","EXPIRED","","","","","","","","","","","","",
"STR_MMER_RESPAWN_BLOCKED","A responder is on the way - respawn is locked.","A responder is on the way - respawn is locked.","","","","","","","","","","","","",
